,Unnamed: 0,draft_season,player_id,player_name,position,height,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,overall_pick,draft_type,organization,organization_type,player_profile_flag
14,14,2013,203497,Rudy Gobert,C,84.5,86.0,237.6,92.5,115.0,4.4,9.75,10.0,25.0,29.0,12.85,3.19,3.57,7,0.6,0.6,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Draft,Cholet Basket (France),Other Team/Club,1.0
15,15,2013,203462,Archie Goodwin,SG,75.75,77.25,189.0,81.5,102.0,4.55,8.5,9.0,30.0,36.0,10.75,3.41,3.27,1,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.4,0.4,0.8,0.6,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Draft,Kentucky,College/University,1.0
16,16,2013,203475,Erick Green,PG,73.5,75.0,178.2,77.75,98.0,4.35,8.5,9.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.2,0.8,0.6,0.6,0.6,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,Draft,Virginia Tech,College/University,1.0
17,17,2013,203501,Tim Hardaway Jr.,SG,76.5,78.25,199.4,79.0,101.0,6.05,8.0,9.25,31.5,37.5,10.68,2.93,3.25,16,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.0,0.6,0.2,0.6,1.0,1.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Draft,Michigan,College/University,1.0
18,18,2013,203524,Solomon Hill,SF,77.5,79.0,226.0,81.0,103.0,7.6,9.0,10.5,29.5,37.5,10.77,2.91,3.19,14,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.4,0.4,0.8,0.8,0.8,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Draft,Arizona,College/University,1.0
19,19,2013,203494,Richard Howell,PF,78.25,79.5,249.6,82.25,105.5,8.75,8.75,9.5,0.0,0.0,0.0,0.0,0.0,0,0.6,0.4,0.8,0.6,0.4,0.6,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
20,20,2013,203470,Colton Iverson,C,82.5,84.0,262.8,86.0,110.0,9.6,9.25,9.5,26.5,30.0,11.52,3.04,3.52,12,0.2,0.4,0.8,0.6,0.4,0.6,0.4,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,Draft,Colorado State,College/University,0.0
21,21,2013,203510,Pierre Jackson,PG,69.5,70.5,176.0,70.0,90.0,4.5,7.5,8.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.6,0.4,0.2,0.8,0.4,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,Draft,Baylor,College/University,1.0
22,22,2013,203511,Grant Jerrett,PF,80.75,82.25,232.0,86.0,109.0,10.05,8.5,9.25,28.5,34.0,11.85,3.23,3.51,2,1.0,0.8,0.8,0.8,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Draft,Arizona,College/University,1.0
23,23,2013,203509,Myck Kabongo,PG,73.25,74.75,180.4,78.25,98.0,6.0,8.25,9.0,27.5,33.5,10.64,2.86,3.44,2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.8,0.4,0.4,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
