,player_id,player_name,team_nickname,Ejection,Free Throw,Jump Shot,MISS Jump Shot,REBOUND,S.FOUL,SUB,Timeout,Tip Ball,Turnover,Violation,Accuracy,Games Played,Per Game Jump Shot,Per Game Tip Ball,Per Game Ejection,Per Game MISS Jump Shot,Per Game Free Throw,Per Game REBOUND,Per Game Turnover,Per Game S.FOUL,Per Game Violation,Per Game SUB,Per Game Timeout
21,1626166,Cameron Payne,Bulls,0,45,178,270,140,109,120,0,0,84,6,0.39732142857142855,68,2.6176470588235294,0.0,0.0,3.9705882352941178,0.6617647058823529,2.0588235294117645,1.2352941176470589,1.6029411764705883,0.08823529411764706,1.7647058823529411,0.0
22,1626166,Cameron Payne,Cavaliers,0,14,27,28,18,12,12,0,0,9,0,0.4909090909090909,8,3.375,0.0,0.0,3.5,1.75,2.25,1.125,1.5,0.0,1.5,0.0
23,1626166,Cameron Payne,Suns,1,218,724,980,506,378,455,0,0,284,3,0.42488262910798125,201,3.601990049751244,0.0,0.004975124378109453,4.875621890547263,1.0845771144278606,2.517412935323383,1.4129353233830846,1.8805970149253732,0.014925373134328358,2.263681592039801,0.0
24,1626166,Cameron Payne,Thunder,0,31,147,243,120,119,96,0,0,70,2,0.3769230769230769,80,1.8375,0.0,0.0,3.0375,0.3875,1.5,0.875,1.4875,0.025,1.2,0.0
25,1626173,Rashad Vaughn,Bucks,0,44,191,361,164,128,138,0,0,59,0,0.34601449275362317,126,1.5158730158730158,0.0,0.0,2.865079365079365,0.3492063492063492,1.3015873015873016,0.46825396825396826,1.0158730158730158,0.0,1.0952380952380953,0.0
26,1626173,Rashad Vaughn,Magic,0,0,2,4,4,2,6,0,0,2,0,0.3333333333333333,3,0.6666666666666666,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,2.0,0.0
27,1626173,Rashad Vaughn,Nets,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,1626175,Jordan Mickey,Celtics,0,38,53,61,95,31,24,0,0,20,0,0.4649122807017544,49,1.0816326530612246,0.0,0.0,1.2448979591836735,0.7755102040816326,1.9387755102040816,0.40816326530612246,0.6326530612244898,0.0,0.4897959183673469,0.0
29,1626175,Jordan Mickey,Heat,0,23,46,48,87,34,25,0,3,20,5,0.48936170212765956,25,1.84,0.12,0.0,1.92,0.92,3.48,0.8,1.36,0.2,1.0,0.0
30,1626176,Rakeem Christmas,Pacers,0,40,28,25,70,44,32,0,1,8,1,0.5283018867924528,31,0.9032258064516129,0.03225806451612903,0.0,0.8064516129032258,1.2903225806451613,2.2580645161290325,0.25806451612903225,1.4193548387096775,0.03225806451612903,1.032258064516129,0.0
31,1626179,Terry Rozier,Celtics,1,410,915,1446,1122,388,616,0,3,252,8,0.3875476493011436,314,2.9140127388535033,0.009554140127388535,0.0031847133757961785,4.6050955414012735,1.305732484076433,3.573248407643312,0.802547770700637,1.2356687898089171,0.025477707006369428,1.9617834394904459,0.0
32,1626179,Terry Rozier,Hornets,0,743,1797,2349,1078,474,624,0,5,464,7,0.43342981186685964,254,7.074803149606299,0.01968503937007874,0.0,9.248031496062993,2.925196850393701,4.244094488188976,1.8267716535433072,1.8661417322834646,0.027559055118110236,2.456692913385827,0.0
33,1626181,Norman Powell,Clippers,0,329,400,430,201,157,128,0,2,112,2,0.4819277108433735,68,5.882352941176471,0.029411764705882353,0.0,6.323529411764706,4.838235294117647,2.9558823529411766,1.6470588235294117,2.3088235294117645,0.029411764705882353,1.8823529411764706,0.0
34,1626181,Norman Powell,Raptors,0,668,1321,1545,900,665,658,0,11,400,6,0.4609211444521982,388,3.404639175257732,0.028350515463917526,0.0,3.981958762886598,1.7216494845360826,2.3195876288659796,1.0309278350515463,1.7139175257731958,0.015463917525773196,1.6958762886597938,0.0
