,team_name,location,Anotaciones de Campo,Intentos de Anotaciones de Campo,Anotaciones de Triples,Intentos de Triples,Anotaciones Tiro Libre,Intentos Tiro Libre,Recuperaciones Ofensivas,Recuperaciones Defensivas,Recuperaciones Totales,Asistencias,Robos,Bloqueos,Perdida de Balon,Faltas Cometidas,Puntos,Diferencia de Puntos,Partidos Ganados,Promedio de Acierto,Promedio de Acierto Triples,Promedio de Acierto Tiros Libres,Partidos Jugados
0,Atlanta Hawks,away,36.531189083820664,82.39961013645224,7.605263157894737,21.776803118908383,17.59551656920078,23.005847953216374,10.682261208576998,30.840155945419102,41.5224171539961,21.03216374269006,7.611111111111111,4.8391812865497075,15.260233918128655,20.91812865497076,98.26315789473684,-5.1003898635477585,0.3401559454191033,0.4439590643274854,0.3451130604288499,0.7645,1026
1,Atlanta Hawks,home,38.105940594059405,82.99405940594059,7.869306930693069,22.034653465346533,18.545544554455446,24.016831683168316,10.976237623762376,31.814851485148516,42.79108910891089,23.253465346534654,7.593069306930693,4.767326732673268,14.537623762376237,20.751485148514853,102.62673267326733,1.310891089108911,0.5643564356435643,0.4598613861386138,0.35387029702970296,0.7727910891089109,1010
2,Boston Celtics,away,36.82592592592592,81.9037037037037,8.675,24.37037037037037,18.435185185185187,23.930555555555557,9.99537037037037,31.450925925925926,41.446296296296296,21.71851851851852,8.006481481481481,4.49537037037037,14.743518518518519,22.58888888888889,100.76203703703703,0.022222222222222223,0.48518518518518516,0.4506675925925926,0.3518175925925926,0.7718518518518519,1080
3,Boston Celtics,home,37.672811059907836,82.2294930875576,8.685714285714285,24.179723502304146,18.330875576036867,23.741935483870968,10.366820276497696,32.449769585253456,42.816589861751154,23.496774193548386,8.130875576036866,4.799078341013825,14.67926267281106,21.35299539170507,102.36221198156682,4.486635944700461,0.6331797235023041,0.45937972350230416,0.3573069124423963,0.7744488479262673,1085
4,Brooklyn Nets,away,39.12080536912752,85.65324384787472,10.83668903803132,30.23042505592841,17.88366890380313,23.203579418344518,9.568232662192393,33.16778523489933,42.73601789709172,23.024608501118568,7.190156599552573,4.6644295302013425,14.568232662192393,20.69351230425056,106.96196868008948,-3.1722595078299776,0.4004474272930649,0.4577986577181208,0.3549060402684564,0.7734541387024608,447
5,Brooklyn Nets,home,39.110619469026545,84.99115044247787,10.730088495575222,29.984513274336283,17.98008849557522,23.47787610619469,9.827433628318584,33.95132743362832,43.7787610619469,23.371681415929203,7.163716814159292,4.670353982300885,14.949115044247788,20.413716814159294,106.93141592920354,-0.10398230088495575,0.5066371681415929,0.46134292035398233,0.35526548672566377,0.7668960176991151,452
6,Charlotte Hornets,away,37.47791164658634,85.62248995983936,9.259036144578314,26.423694779116467,18.218875502008032,23.849397590361445,10.622489959839358,33.03815261044177,43.66064257028113,22.353413654618475,7.642570281124498,4.518072289156627,13.317269076305221,19.14859437751004,102.43373493975903,-2.8293172690763053,0.41365461847389556,0.4381224899598394,0.34661445783132533,0.7661024096385542,498
7,Charlotte Hornets,home,38.165983606557376,85.24590163934427,9.25,26.403688524590162,18.579918032786885,24.422131147540984,10.522540983606557,33.9344262295082,44.45696721311475,24.12704918032787,7.194672131147541,5.586065573770492,13.48360655737705,19.01844262295082,104.16188524590164,0.8790983606557377,0.5307377049180327,0.4486741803278689,0.3464631147540984,0.7598237704918033,488
8,Chicago Bulls,away,36.94248234106963,82.80423814328961,7.108980827447024,19.993945509586275,17.278506559031282,22.819374369323913,10.82744702320888,31.701311806256307,42.52875882946519,21.424823410696266,7.336024217961655,4.580221997981837,15.41473259334006,21.48335015136226,98.27245206861755,-3.744702320887992,0.38143289606458125,0.4469243188698284,0.3518254288597376,0.7574954591321897,991
9,Chicago Bulls,home,37.309126594700686,83.68792934249264,7.111874386653582,19.819430814524043,17.928361138370953,23.613346418056917,11.67909715407262,32.8900883218842,44.56918547595682,23.29440628066732,7.428851815505397,5.335623159960746,14.602551521099116,20.87046123650638,99.65848871442591,1.1668302257114818,0.5525024533856723,0.4465210991167812,0.3580107948969578,0.7607988223748774,1019
10,Cleveland Cavaliers,away,36.53497536945813,81.88669950738917,7.588177339901478,21.68374384236453,17.980295566502463,24.16551724137931,11.03743842364532,31.035467980295568,42.072906403940884,20.353694581280788,7.1960591133004925,4.119211822660098,14.707389162561576,20.976354679802956,98.6384236453202,-3.800985221674877,0.39113300492610836,0.4467133004926108,0.3417152709359606,0.744448275862069,1015
